,title,genres,release_date,price,specs,early_access,metascore,sentiment,year
28,Half-Life,['Action'],1998-11-08,9.99,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",False,96.0,Overwhelmingly Positive,1998
39,Disciples II: Gallean's Return,['Strategy'],2006-07-06,6.99,"['Single-player', 'Multi-player', 'Co-op']",False,84.0,Mostly Positive,2006
40,Disciples II: Rise of the Elves,['Strategy'],2006-07-06,6.99,"['Single-player', 'Multi-player', 'Co-op']",False,80.0,Very Positive,2006
41,The Ship: Murder Party,"['Action', 'Indie', 'RPG']",2006-07-11,9.99,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",False,76.0,Very Positive,2006
55,Advent Rising,['Action'],2005-08-09,9.99,"['Single-player', 'Steam Trading Cards']",False,70.0,Mostly Positive,2005
56,DEFCON,"['Indie', 'Strategy']",2006-09-29,9.99,"['Single-player', 'Multi-player']",False,84.0,Very Positive,2006
61,Gumboy - Crazy Adventures™,"['Casual', 'Indie']",2006-12-19,4.99,['Single-player'],False,69.0,Mixed,2006
62,Ghost Master®,['Strategy'],2003-08-23,4.99,['Single-player'],False,81.0,Very Positive,2003
64,Dreamfall: The Longest Journey,"['Adventure', 'RPG']",2006-04-17,19.99,['Single-player'],False,75.0,Very Positive,2006
65,FlatOut 2™,['Racing'],2006-08-01,9.99,['Single-player'],False,76.0,Very Positive,2006
66,FlatOut,['Racing'],2005-07-12,7.49,"['Single-player', 'Multi-player']",False,72.0,Very Positive,2005
67,Lost Planet™: Extreme Condition,"['Action', 'Adventure']",2007-06-26,14.99,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",False,66.0,Mostly Positive,2007
68,CivCity: Rome,['Strategy'],2006-07-24,9.99,['Single-player'],False,67.0,Mostly Positive,2006
69,Arx Fatalis,['RPG'],2002-11-12,4.99,['Single-player'],False,77.0,Very Positive,2002
70,The Longest Journey,"['Action', 'Adventure', 'RPG']",2000-11-17,9.99,['Single-player'],False,91.0,Very Positive,2000
71,Civilization IV®: Warlords,['Strategy'],2006-07-24,4.99,['Single-player'],False,84.0,Very Positive,2006
