,id,app_name,genres
0,275830,7 Wonders: Magical Mystery Tour,"['Casual', 'Strategy']"
1,329150,Vanguard Princess Lilith,"['Action', 'Casual', 'Indie']"
2,353940,Aces of the Luftwaffe,['Action']
3,590630,Fantasy Grounds - A Wedding at Axebridge (RMC),"['Indie', 'RPG', 'Strategy']"
4,3520,Mystery P.I.™ - The Vegas Heist,['Casual']
5,444440,Scapeland,"['Action', 'Adventure', 'Casual', 'Indie']"
6,509850,Bumper,"['Action', 'Casual', 'Indie']"
7,681511,Lumber King DLC - Holy Armor,['Free to Play']
8,284750,Enigmatis: The Ghosts of Maple Creek,"['Adventure', 'Casual']"
9,373470,A Wizard's Lizard: Soul Thief,"['Action', 'Indie', 'RPG', 'Early Access']"
10,433670,Professional Farmer 2017,['Simulation']
11,527920,Farm Tribe 2,"['Casual', 'Simulation']"
12,544290,Tyto Online,"['Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
13,673050,StarBallMadNess,"['Casual', 'Early Access']"
14,108710,Alan Wake,"['Action', 'Adventure']"
15,602470,War Thunder - US Combined Forces,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']"
16,414233,Tabletopia - Champions of Midgard: The Dark Mountains,"['Adventure', 'Casual', 'Simulation', 'Strategy']"
17,593055,Dead Rising 4 - Super Ultra Dead Rising 4 Mini Golf,['Action']
18,214790,The Basement Collection,"['Adventure', 'Indie', 'Strategy']"
19,715980,Eared Hero,"['Adventure', 'Casual', 'Indie', 'Simulation']"
20,492983,Rocksmith® 2014 – Dream Theater - “Metropolis Part I: “The Miracle and the Sleeper””,"['Casual', 'Simulation']"
21,457840,Enter the Gungeon - Soundtrack,"['Action', 'Adventure', 'Indie']"
22,269610,Arcane Worlds,"['Action', 'Adventure', 'Early Access', 'Indie', 'Strategy']"
23,277470,The Book of Legends,"['Adventure', 'Indie', 'RPG']"
24,358260,Crystal Caves,['Action']
25,371430,Space Grunts,"['Action', 'Indie', 'RPG', 'Strategy']"
26,731670,ERMO,"['Casual', 'Indie', 'Early Access']"
27,385630,Cosmic Rocket Defender,"['Action', 'Indie']"
28,284020,Freddi Fish and Luther's Maze Madness,"['Adventure', 'Casual']"
29,240300,DCS: Combined Arms 1.5,"['Simulation', 'Strategy']"
30,29540,Guild Wars,"['RPG', 'Massively Multiplayer']"
31,486770,TRON RUN/r Original Soundtrack,"['Action', 'Racing']"
32,210085,Street Fighter X Tekken: SF Booster Pack 5,['Action']
33,3900,Sid Meier's Civilization® IV,['Strategy']
34,713160,After Death,"['Action', 'Adventure', 'Indie']"
35,532090,Dawn's Light 2,"['Adventure', 'Indie', 'RPG', 'Strategy']"
36,216210,Secret Files 3,['Adventure']
37,576160,A Long Road Home,"['Adventure', 'Casual', 'Indie']"
38,357800,"Please, Don't Touch Anything Soundtrack","['Casual', 'Indie']"
39,369822,Rocksmith® 2014 – The Doors - “L.A. Woman”,"['Casual', 'Simulation']"
40,566550,Rule Your School,"['Indie', 'Simulation']"
41,375450,NOBUNAGA'S AMBITION: Sphere of Influence - Ascension / 信長の野望･創造 戦国立志伝,['Strategy']
42,97387,"Duels 2013 ""Grinning Malice"" Foil Conversion",['Strategy']
43,554330,Choppa,"['Action', 'Casual', 'Indie']"
44,754510,3D Hardcore Cube 2,['Indie']
45,616740,克莉丝的炎之信仰 Cryste: the Faith of Fire Vol.1,"['Adventure', 'Casual', 'Indie']"
46,270110,Block Story™,"['Action', 'Adventure', 'Indie', 'RPG']"
47,585620,GameMaker Studio 2 Mobile,"['Animation &amp; Modeling', 'Design &amp; Illustration', 'Education', 'Utilities', 'Web Publishing']"
48,388270,Baseball Mogul 2015,"['Casual', 'Simulation', 'Sports', 'Strategy']"
49,523508,Yu-Gi-Oh! Waking the Dragons: Joey’s Journey,['Simulation']
50,488220,Valcarta: Rise of the Demon,['RPG']
51,39150,FINAL FANTASY VIII,['RPG']
52,214986,Hearts of Iron III: Their Finest Hour,['Strategy']
53,597072,Watch_Dogs® 2 - Ride Britannia Pack,"['Action', 'Adventure']"
54,232770,POSTAL,"['Action', 'Indie']"
55,496437,Fishing Planet: Trout Triumph Pack,"['Free to Play', 'Massively Multiplayer', 'Simulation', 'Sports']"
56,35720,Trine 2: Complete Story,"['Action', 'Adventure', 'Indie']"
57,2640,Call of Duty: United Offensive,['Action']
58,3990,Civilization IV®: Warlords,['Strategy']
59,215004,Victoria II: Interwar Engineer Unit,['Strategy']
60,345030,3d Engineers,['Simulation']
61,223593,The Sims 3: Supernatural,['Simulation']
62,329320,QbQbQb,"['Action', 'Casual', 'Indie']"
63,496360,RC Racing Off Road 2.0,"['Racing', 'Simulation', 'Sports']"
