,item_id,sentiment_analisy,year
0,1250,2,2009
1,1250,1,2009
2,1250,0,2009
3,22200,2,2009
4,22200,1,2009
5,227300,0,2013
6,227300,2,2013
7,227300,1,2013
8,239030,0,2013
9,239030,2,2013
10,239030,1,2013
11,248820,2,2013
12,248820,1,2013
13,248820,0,2013
14,370360,2,2015
15,237930,2,2014
16,237930,1,2014
17,237930,0,2014
18,263360,0,2014
19,263360,2,2014
20,263360,1,2014
21,107200,2,2011
22,107200,1,2011
23,107200,0,2011
24,224500,2,2016
25,224500,0,2016
26,250320,2,2013
27,250320,0,2013
28,250320,1,2013
29,20920,2,2011
30,20920,0,2011
31,20920,1,2011
32,204100,2,2012
33,204100,0,2012
34,204100,1,2012
35,224600,2,2014
36,224600,0,2014
37,224600,1,2014
38,207610,0,2012
39,207610,1,2012
40,207610,2,2012
41,108710,2,2012
42,108710,0,2012
43,108710,1,2012
44,211420,1,2012
45,211420,0,2012
46,211420,2,2012
47,211820,2,2016
48,211820,1,2016
49,211820,0,2016
50,730,2,2012
51,730,1,2012
52,730,0,2012
53,204300,2,2012
54,204300,1,2012
55,204300,0,2012
56,249130,0,2013
57,249130,2,2013
58,249130,1,2013
59,550,1,2009
60,550,2,2009
61,550,0,2009
62,65800,0,2011
63,65800,2,2011
64,65800,1,2011
65,220,2,2004
66,220,1,2004
67,220,0,2004
68,440,1,2007
69,440,2,2007
70,440,0,2007
71,252950,2,2015
72,252950,1,2015
73,252950,0,2015
74,304930,1,2017
75,304930,0,2017
76,304930,2,2017
77,4000,1,2006
78,4000,2,2006
79,4000,0,2006
80,42910,1,2011
81,42910,0,2011
82,42910,2,2011
83,232090,2,2016
84,232090,0,2016
85,232090,1,2016
86,224260,2,2011
87,224260,1,2011
88,224260,0,2011
89,49520,0,2012
90,49520,2,2012
91,49520,1,2012
92,220200,2,2015
93,220200,1,2015
94,220200,0,2015
95,218740,1,2012
96,218740,2,2012
97,238090,2,2014
98,238090,0,2014
99,238090,1,2014
100,242130,0,2015
101,242130,2,2015
102,277430,2,2014
103,277430,1,2014
104,8870,1,2013
105,8870,2,2013
106,8870,0,2013
107,368230,0,2015
108,368230,2,2015
109,368230,1,2015
110,33930,2,2010
111,33930,1,2010
112,33930,0,2010
113,219640,2,2012
114,219640,1,2012
115,219640,0,2012
116,287980,2,2015
117,287980,0,2015
118,208090,1,2014
119,208090,2,2014
120,208090,0,2014
121,242700,1,2013
122,242700,2,2013
123,242700,0,2013
124,221100,2,2013
125,221100,0,2013
126,221100,1,2013
127,331470,2,2014
128,331470,1,2014
129,331470,0,2014
130,323370,2,2015
131,323370,0,2015
132,323370,1,2015
133,48700,2,2010
134,48700,0,2010
135,48700,1,2010
136,238460,2,2014
137,238460,1,2014
138,238460,0,2014
139,34900,2,2009
140,34900,0,2009
141,34900,1,2009
142,113200,0,2011
143,113200,2,2011
144,113200,1,2011
145,213670,1,2014
146,213670,2,2014
147,213670,0,2014
148,105600,0,2011
149,105600,2,2011
150,105600,1,2011
151,620,2,2011
152,620,1,2011
153,620,0,2011
154,317360,1,2014
155,317360,2,2014
156,317360,0,2014
157,223710,1,2013
158,223710,2,2013
159,223710,0,2013
160,299360,1,2015
161,299360,0,2015
162,299360,2,2015
163,322330,2,2016
164,322330,1,2016
165,322330,0,2016
166,12100,1,2002
167,12100,2,2002
168,12100,0,2002
169,204360,2,2012
170,204360,0,2012
171,204360,1,2012
172,1840,1,2012
173,1840,2,2012
174,1840,0,2012
175,449140,1,2016
176,449140,2,2016
177,368730,1,2015
178,368730,0,2015
179,368730,2,2015
180,427270,2,2017
181,427270,0,2017
182,427270,1,2017
183,397100,1,2016
184,397100,0,2016
185,397100,2,2016
186,248570,1,2006
187,248570,0,2006
188,248570,2,2006
189,298630,1,2015
190,298630,2,2015
191,298630,0,2015
192,376920,2,2015
193,257750,1,2013
194,257750,2,2013
195,257750,0,2013
196,221910,0,2013
197,221910,2,2013
198,221910,1,2013
199,2280,2,1995
200,2280,0,1995
201,2280,1,1995
202,417860,1,2015
203,417860,0,2015
204,417860,2,2015
205,222880,1,2014
206,222880,0,2014
207,222880,2,2014
208,377160,2,2015
209,377160,1,2015
210,377160,0,2015
211,252490,2,2013
212,252490,0,2013
213,252490,1,2013
214,242920,2,2014
215,242920,1,2014
216,242920,0,2014
217,251990,2,2013
218,251990,0,2013
219,344760,0,2015
220,344760,2,2015
221,344760,1,2015
222,236430,1,2014
223,236430,2,2014
224,236430,0,2014
225,399730,2,2015
226,219150,2,2012
227,219150,0,2012
228,219150,1,2012
229,239820,2,2013
230,239820,1,2013
231,239820,0,2013
232,17410,2,2009
233,17410,0,2009
234,17410,1,2009
235,270550,2,2014
236,270550,1,2014
237,270550,0,2014
238,274940,2,2014
239,274940,1,2014
240,274940,0,2014
241,333930,0,2015
242,333930,2,2015
243,333930,1,2015
244,294100,0,2016
245,294100,2,2016
246,212070,2,2013
247,212070,0,2013
248,212070,1,2013
249,264140,2,2015
250,264140,0,2015
251,264140,1,2015
252,332800,1,2014
253,332800,0,2014
254,332800,2,2014
255,319630,2,2015
256,319630,0,2015
257,319630,1,2015
258,6020,1,2003
259,6020,2,2003
260,6020,0,2003
261,55230,2,2011
262,55230,1,2011
263,55230,0,2011
264,32430,2,2009
265,32430,0,2009
266,32430,1,2009
267,35450,2,2011
268,35450,1,2011
269,35450,0,2011
270,212680,0,2012
271,212680,2,2012
272,212680,1,2012
273,391540,1,2015
274,391540,0,2015
275,391540,2,2015
276,113400,0,2011
277,113400,2,2011
278,113400,1,2011
279,200510,2,2012
280,200510,1,2012
281,200510,0,2012
282,200210,2,2012
283,200210,1,2012
284,200210,0,2012
285,304050,0,2015
286,304050,2,2015
287,304050,1,2015
288,265610,0,2014
289,265610,2,2014
290,265610,1,2014
291,264200,1,2014
292,264200,2,2014
293,264200,0,2014
294,210770,0,2013
295,210770,2,2013
296,210770,1,2013
297,351640,2,2015
298,351640,1,2015
299,351640,0,2015
300,47870,2,2010
301,47870,1,2010
302,47870,0,2010
303,253710,0,2014
304,253710,2,2014
305,253710,1,2014
306,339280,2,2015
307,339280,0,2015
308,339280,1,2015
309,203290,2,2015
310,203290,1,2015
311,203290,0,2015
312,233150,0,2014
313,233150,2,2014
314,233150,1,2014
315,346330,1,2016
316,346330,0,2016
317,346330,2,2016
318,295550,2,2014
319,295550,1,2014
320,250180,1,2014
321,250180,0,2014
322,250180,2,2014
323,227940,1,2016
324,227940,2,2016
325,227940,0,2016
326,17520,2,2005
327,17520,1,2005
328,17520,0,2005
329,113420,2,2011
330,113420,0,2011
331,113420,1,2011
332,320760,0,2015
333,320760,2,2015
334,8850,2,2010
335,8850,1,2010
336,8850,0,2010
337,233720,0,2013
338,233720,1,2013
339,233720,2,2013
340,220240,2,2012
341,220240,1,2012
342,220240,0,2012
343,333950,0,2015
344,333950,1,2015
345,333950,2,2015
346,107410,0,2013
347,107410,2,2013
348,107410,1,2013
349,206210,1,2012
350,206210,2,2012
351,206210,0,2012
352,299740,0,2014
353,299740,2,2014
354,209870,0,2012
355,209870,2,2012
356,209870,1,2012
357,322170,2,2014
358,322170,0,2014
359,322170,1,2014
360,362890,2,2015
361,362890,0,2015
362,362890,1,2015
363,346110,2,2017
364,346110,0,2017
365,346110,1,2017
366,311560,2,2015
367,311560,1,2015
368,266430,2,2014
369,266430,0,2014
370,266430,1,2014
371,316010,2,2015
372,316010,1,2015
373,316010,0,2015
374,249570,0,2014
375,249570,1,2014
376,240,0,2004
377,240,2,2004
378,240,1,2004
379,365590,0,2016
380,365590,1,2016
381,365590,2,2016
382,298050,2,2016
383,298050,0,2016
384,301520,2,2017
385,301520,0,2017
386,301520,1,2017
387,218230,2,2012
388,218230,1,2012
389,218230,0,2012
390,291550,1,2017
391,291550,2,2017
392,291550,0,2017
393,206420,2,2013
394,206420,1,2013
395,206420,0,2013
396,454890,2,2016
397,273350,2,2015
398,273350,0,2015
399,273350,1,2015
400,370480,2,2015
401,266210,2,2014
402,266210,0,2014
403,266210,1,2014
404,287700,1,2015
405,287700,0,2015
406,287700,2,2015
407,310950,1,2016
408,310950,2,2016
409,310950,0,2016
410,221380,1,2013
411,221380,2,2013
412,221380,0,2013
413,222420,1,2014
414,271590,1,2015
415,271590,2,2015
416,271590,0,2015
417,298110,1,2014
418,298110,0,2014
419,298110,2,2014
420,222440,1,2015
